Название товара	Душевая кабина Grossman GR-141
Описание товара	Угловая кабина с формой четверть круга, выполненная в светлых тонах. Любителей водных процедур порадует наличие трех гидромассажных форсунок, тропический и ручной душ с длинным полутораметровым шлангом. Сенсорный пульт помогает управлять такими функциями, как: FM приемник, освещение, вентиляция., Низкий акриловый поддон - высота 15 см, каркас поддона изготовлен из прочной нержавеющей стали., Душевая кабина Grossman GR-141 - в белом цвете, прозрачное стекло., У поддона имеется высокий бортик, что препятствует переливу воды и подтекам в ванной комнате., Антискользящее покрытие - рифление на дне., Сенсорный пульт управления - нового поколения, надежный и долговечный, отлично работает при любой температуре (радио, освещение, принудительная вытяжка)., 5 мм - закаленные стекла имеют максимальную систему защиты от порезов., Раздвижная дверь на роликах., Дренажная система в комплекте: сифон и сливная гофра., Верхний душ (тропический душ) - со встроенным светом установлен в крыше, Ручной душ с гибким шлангом., 3 - гидромассажные, горизонтальные форсунки, 2 - полочки, Объемное зеркало на задней стенке.
Цена в рублях	100900
Цена без скидки	144143
Оценка покупателей	0%
Название магазина	sanbravo-k
Количество отзывов	0
Тип	Душевая кабина
Длина, см	100
Ширина, см	110
Высота, см	225
Толщина стекла, мм	5
Стекло	Прозрачное
Страна-изготовитель	Китай
Цвет	Белый
Размеры, мм	1000х1000х2250
Двери	Раздвижные в стороны
Материал поддона	Акрил
Установлено	Верхний душ
Цвет стенки	Белый
Гарантия	1 год
Число дверей	1
Бренд	Grossman
Форма	Четверть круга
Высота поддона	Низкий
Материал дверей	Стекло
Число форсунок	3
Монтаж	На поддон
Адрес товара	https://www.ozon.ru/product/203434226?oos_search=false
Статус 	В наличии
