Название товара	Душевой бокс Niagara NG-3150
Описание товара	No description
Цена в рублях	66400
Цена без скидки	94857
Оценка покупателей	0%
Название магазина	sanbravo-k
Количество отзывов	0
Тип	Душевой бокс
Длина, см	70
Ширина, см	150
Высота, см	220
Толщина стекла, мм	4
Стекло	Узорчатое
Управление	Электронное
Страна-изготовитель	Китай
Цвет	Белый
Размеры, мм	700х1500х2200
Высота поддона	Высокий
Материал поддона	Акрил
Число дверей	2
Двери	Раздвижные в стороны
Монтаж	Напольный
Форма	Прямоугольник
Установлено	Гидромассаж
Материал дверей	Стекло
Бренд	Niagara
Адрес товара	https://www.ozon.ru/product/203453672?oos_search=false
Статус 	В наличии
