Название товара	Душевая кабина Niagara NG-3520-14L
Описание товара	Душевая кабина Niagara Classic NG-3520-14L 120x80 станет яркой деталью интерьера, так как отвечает потребительским запросам. Имея ширину 1200 мм и глубину 800 мм, это изделие займет свободный уголок в помещении. Определяя место для модели в комнате, обратите внимание, что кабина левосторонняя. Это закрытая душевая кабина, так как верхняя часть изделия, которую обычно называют крышей, в комплекте. Дверцы у нее раздвижные, что очень удобно. Обратите внимание на поддон, форма которого определятся как асимметричная. Он высокий и произведен из abs-пластика. Душевая кабина неплохо укомплектована. Следует учесть также, что освещение в кабине верхнее. Для стенок изделия использовано закаленное тонированное стекло толщиной 4 мм. Выглядит стильно и при этом гарантирует безопасность. Профили в цвете хром матовый подчеркнут рельефность линий., Форма прямоугольная-асимметричная, Ширина, см 120, Глубина, см 80, Высота, см 225, Вид поддона высокий, Высота поддона, см 45, Глубина поддона, см 28, Вход сбоку, Ширина входа, см 48, Конструкция дверей раздвижная, Толщина полотна двери, мм 4, Количество секций двери 2, Материал поддона акрил, Материал полотна двери стекло, Материал профиля алюминий, Наличие крыши закрытая, c крышей, Ориентация левая, Управление электронное / ручное, Освещение верхнее, Электропитание, В 220, Исполнение полотна двери тонированное, Исполнение задней стенки тонированное / стекло, Расположение угловое, Цвет полотна двери серый, Цвет задней стенки черный, Цвет корпуса серебристый, Цвет профиля серебро, Поверхность профиля глянцевая, Гидромассаж в кабине есть, Зона гидромассажа гидромассаж спины, Количество форсунок в кабине 6, Количество форсунок спинного массажа 6, Регулируемая высота ножек да, Показать полностью
Цена в рублях	40500
Цена без скидки	57857
Оценка покупателей	100%
Название магазина	sanbravo-k
Количество отзывов	1
Тип	Душевая кабина
Длина, см	80
Ширина, см	120
Высота, см	215
Толщина стекла, мм	4
Стекло	Тонированное
Управление	Ручное
Страна-изготовитель	Китай
Цвет	Черный
Размеры, мм	800х1200х2150
Материал дверей	Стекло
Цвет фурнитуры	Серебристый
Материал поддона	Акрил
Двери	Раздвижные в стороны
Число дверей	2
Бренд	Niagara
Гарантия	5 лет
Число форсунок	6
Установлено	Гидромассаж
Ориентация установки	Левосторонняя
Высота поддона	Высокий
Форма	Полукруг
Цвет стенки	Черный
Монтаж	На поддон
Адрес товара	https://www.ozon.ru/product/204513985?oos_search=false
Статус 	В наличии
