Название товара	Душевая кабина Niagara NG-703-01RN
Описание товара	No description
Цена в рублях	35300
Цена без скидки	-
Оценка покупателей	0%
Название магазина	sanbravo-k
Количество отзывов	0
Тип	Душевая кабина
Длина, см	80
Ширина, см	120
Высота, см	220
Толщина стекла, мм	4
Стекло	Узорчатое
Страна-изготовитель	Китай
Цвет	Белый
Размеры, мм	800х1200х2200
Ориентация установки	Правосторонняя
Бренд	Niagara
Высота поддона	Низкий
Монтаж	На поддон
Гарантия	5 лет
Установлено	Гидромассаж
Число форсунок	6
Материал дверей	Стекло
Двери	Раздвижные в стороны
Форма	Полукруг
Число дверей	2
Материал поддона	Акрил
Адрес товара	https://www.ozon.ru/product/204893413?oos_search=false
Статус 	Закончился
