Название товара	Душевая кабина WERRA 1001
Описание товара	БЕЗСИЛИКОНОВАЯ СБОРКА* БЕЗ КРЫШИ* Профиль анодированный алюминий. Матовый хром* Фурнитура вся металл хром* Смеситель латунный с резьбовыми выходами.* Два положения ручного душа. Верхний/ручной.* Ручной душ 3 положения.* Штанга с мыльницей.* Длина шланга 1500-1900 мм. Шланг растягивается.* Полочка с металлическим ограничителем.* Зеркало с фацетом и декоративной рамкой.* Ручки металл хром.* Двойные верхние металлические ролики.* Силиконовые водонепроницаемые уплотнители.* Акриловый поддон 16 см с сифоном. Экран съемный.* Сифон с гидрозатвором. Клапан сифона металл. Сетка для улавливания волос.* Резьбовое соединение всех задних шлангов.
Цена в рублях	90000
Цена без скидки	-
Оценка покупателей	0%
Название магазина	VIVON.RU
Количество отзывов	0
Тип	Душевая кабина
Длина, см	100
Ширина, см	100
Высота, см	217
Толщина стекла, мм	5
Стекло	Прозрачное
Управление	Ручное
Страна-изготовитель	Германия
Цвет	Белый
Размеры, мм	1000x1000x2170
Материал дверей	Стекло
Двери	Раздвижные в стороны
Материал поддона	Акрил
Ориентация установки	Универсальная
Материал задней стенки	Стекло
Цвет стенки	Белый
Монтаж	Пристенный, На каркас
Бренд	Weltwasser
Гарантия	5 лет
Высота поддона	Низкий
Форма	Четверть круга
Число дверей	2
Цвет фурнитуры	Серебристый
Установлено	Зеркало
Адрес товара	https://www.ozon.ru/product/251015043?oos_search=false
Статус 	Закончился
