Название товара	Душевая кабина Erlit ER3509PF-C3
Описание товара	Кабина, зеркало, полочка
Цена в рублях	31816
Цена без скидки	-
Оценка покупателей	0%
Название магазина	sanbravo-k
Количество отзывов	0
Тип	Душевая кабина
Ширина, см	90
Высота, см	215
Толщина стекла, мм	4
Управление	Ручное
Страна-изготовитель	Россия
Цвет	Белый
Размеры, мм	900x900x2150
Гарантия	1 год
Форма	Четверть круга
Бренд	Erlit
Ориентация установки	Универсальная
Адрес товара	https://www.ozon.ru/product/256582240?oos_search=false
Статус 	Закончился
