Название товара	Душевая кабина 7Dreams черный
Описание товара	Преимущества, , - Разборную душевую кабину можно перевозить с одного места на другое, убирать на сезонное хранение., , - Конструкция легко и быстро собирается без специальных инструментов., , - Каркас устойчив при порыве ветра, поэтому кабину можно устанавливать на открытых участках.
Цена в рублях	18999
Цена без скидки	-
Оценка покупателей	96.1778%
Название магазина	M&M sellers
Количество отзывов	11
Тип	Душевая кабина
Бренд	7Dreams
Адрес товара	https://www.ozon.ru/product/258179029?oos_search=false
Статус 	Закончился
