Название товара	Душевая кабина ARCUS (AS-103)
Описание товара	Поддон высокий 45см, , фронтальные стекла матовые фактурные, , задняя панель ABS укрепленная, , хромированный алюминиевый профиль, , регулируемые ролики, , хромированные ручки для дверей, , 3-х режимный смеситель, , ручная лейка, , 6 гидромассажных форсунок, , «тропический душ», , полка, , слив-перелив с сифоном
Цена в рублях	37200
Цена без скидки	-
Оценка покупателей	0%
Название магазина	FillHome КБТ
Количество отзывов	0
Тип	Душевая кабина
Длина, см	90
Ширина, см	90
Высота, см	215
Толщина стекла, мм	4
Стекло	Тонированное
Управление	Ручное
Страна-изготовитель	Китай
Материал задней стенки	Полиэстер с ПВХ покрытием
Гарантия	1 год
Монтаж	Напольный
Число форсунок	6
Материал поддона	Акрил
Двери	Раздвижные в стороны
Форма	Четверть круга
Бренд	ARCUS
Материал дверей	Закаленное стекло
Число дверей	2
Цвет стенки	Белый
Высота поддона	Высокий
Адрес товара	https://www.ozon.ru/product/269239026?oos_search=false
Статус 	Закончился
