Название товара	Душевая кабина ARCUS (ES-309WP-L)
Описание товара	No description
Цена в рублях	37100
Цена без скидки	-
Оценка покупателей	60%
Название магазина	Веб Маркет
Количество отзывов	1
Тип	Душевая кабина
Длина, см	120
Ширина, см	80
Высота, см	215
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Цвет	Белый
Размеры, мм	120x80x215
Цвет стенки	Белый
Форма	Нестандартная
Высота поддона	Высокий
Цвет фурнитуры	Серебристый
Материал дверей	Стекло
Бренд	ARCUS
Число дверей	2
Материал поддона	Акрил
Ориентация установки	Левосторонняя
Двери	Раздвижные в стороны
Гарантия	1 год
Адрес товара	https://www.ozon.ru/product/269398899?oos_search=false
Статус 	Закончился
