Название товара	Душевая кабина ARCUS ES-309GWPR
Описание товара	EcoStyle – это линейка душевых кабин, которая включает в себя соотношение цены и качества, доступность и простоту.  Разработана на основании пожеланий наших клиентов. Эти душевые кабины не оснащены дополнительными функциями, что делает их более доступными по стоимости.
Цена в рублях	37100
Цена без скидки	-
Оценка покупателей	60%
Название магазина	Веб Маркет
Количество отзывов	1
Тип	Душевая кабина
Длина, см	120
Ширина, см	85
Высота, см	215
Толщина стекла, мм	4
Стекло	Тонированное
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	120x80x215
Монтаж	Напольный
Двери	Открывающиеся в стороны
Цвет стенки	Черный
Форма	Нестандартная
Число дверей	2
Высота поддона	Высокий
Материал дверей	Стекло
Бренд	ARCUS
Гарантия	1 год
Материал поддона	Акрил
Адрес товара	https://www.ozon.ru/product/269398903?oos_search=false
Статус 	Закончился
