Название товара	Душевая кабина ARCUS ES-322GWP
Описание товара	No description
Цена в рублях	31250
Цена без скидки	-
Оценка покупателей	60%
Название магазина	Веб Маркет
Количество отзывов	1
Тип	Душевая кабина
Длина, см	90
Ширина, см	90
Высота, см	215
Страна-изготовитель	Китай
Размеры, мм	90x90x215
Двери	Открывающиеся в стороны
Высота поддона	Средний
Цвет стенки	Черный
Форма	Четверть круга
Материал задней стенки	Пластик
Материал поддона	Акрил
Гарантия	1 год
Бренд	ARCUS
Материал дверей	Стекло
Адрес товара	https://www.ozon.ru/product/269398912?oos_search=false
Статус 	Закончился
