Название товара	Душевая кабина ARCUS ES-322WP
Описание товара	Это линейка душевых кабин, которая включает в себя соотношение цены и качества, доступность и простоту.  Разработана на основании пожеланий наших клиентов. Эти душевые кабины не оснащены дополнительными функциями, что делает их более доступными по стоимости.
Цена в рублях	31250
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Веб Маркет
Количество отзывов	0
Тип	Душевая кабина
Длина, см	90
Ширина, см	90
Высота, см	215
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Цвет	Белый
Размеры, мм	90x90x215
Цвет фурнитуры	Серебристый
Монтаж	Напольный
Форма	Четверть круга
Двери	Открывающиеся в стороны
Гарантия	1 год
Бренд	ARCUS
Ориентация установки	Универсальная
Материал поддона	Акрил
Число дверей	2
Материал дверей	Стекло
Высота поддона	Средний
Цвет стенки	Белый
Адрес товара	https://www.ozon.ru/product/271658514?oos_search=false
Статус 	Закончился
