Название товара	Душевая кабина Arcus S-13G
Описание товара	Поддон низкий 15см, , фронтальные стекла: тонированные задние стекла: черные задняя панель: пластик серебро, , хромированный алюминиевый профиль, , регулируемые ролики, , хромированные ручки для дверей 2- режимный смеситель ручная лейка, , слив с сифоном крыша с верхней лейкой
Цена в рублях	38300
Цена без скидки	-
Оценка покупателей	100%
Название магазина	Веб Маркет
Количество отзывов	1
Тип	Душевая кабина
Длина, см	100
Ширина, см	100
Высота, см	215
Стекло	Тонированное
Страна-изготовитель	Китай
Размеры, мм	1000*1000*2150
Материал поддона	Акрил
Бренд	ARCUS
Гарантия	1 год
Монтаж	Напольный
Материал дверей	Закаленное стекло
Двери	Открывающиеся в стороны
Ориентация установки	Универсальная
Высота поддона	Низкий
Число дверей	2
Адрес товара	https://www.ozon.ru/product/271876528?oos_search=false
Статус 	Закончился
