Название товара	Душевая кабина GROSSMAN GR-271
Описание товара	слив в углу
Цена в рублях	77900
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Веб Маркет
Количество отзывов	0
Тип	Душевая кабина
Длина, см	90
Ширина, см	90
Высота, см	200
Толщина стекла, мм	6
Стекло	Узорчатое
Страна-изготовитель	Германия
Цвет	Черный
Размеры, мм	900х900х2050
Монтаж	Напольный
Двери	Открывающиеся в стороны
Материал поддона	Акрил
Высота поддона	Низкий
Ориентация установки	Универсальная
Цвет стенки	Белый
Установлено	Зеркало
Гарантия	5 лет
Материал дверей	Закаленное стекло
Число дверей	1
Форма	Четверть круга
Бренд	Grossman
Цвет фурнитуры	Черный
Адрес товара	https://www.ozon.ru/product/273345091?oos_search=false
Статус 	Закончился
