Название товара	Душевой уголок Erlit ER10109V-C1
Описание товара	Душевое ограждение Erlit ER10109V-C1 без поддона. Дверные ручки выполнены из качественных материалов. Обладают важными качествами: удобством в использовании, элегантностью и долговечностью. Распашная система открывания дверей. Опорные петли исключают проседание дверей в процессе эксплуатации. Алюминиевый профиль обладает высокими антикоррозийными свойствами. Матовая поверхность профиля придает ограждениям привлекательный внешний вид. Магнитная лента плотно фиксирует стеклянные двери в закрытом положении, не давая попадать воде на пол и стены. Силиконовый профиль служит для уплотнения зазора между полом и стеклом.
Цена в рублях	25935
Цена без скидки	-
Оценка покупателей	100%
Название магазина	Shower5.ru
Количество отзывов	2
Тип	Душевой уголок
Длина, см	90
Высота, см	200
Страна-изготовитель	Китай
Бренд	Erlit
Адрес товара	https://www.ozon.ru/product/275370457?oos_search=false
Статус 	В наличии
