Название товара	Душевая кабина TIMO ECO TE-0702 L
Описание товара	Душевая кабина TE-0702 L/R оснащена прочным невысоким поддоном и раздвижными дверьми.  Преимущество раздвижной конструкции дверей очевидно. Они надежные и простые в эксплуатации благодаря саморегулирующимся роликам и экономят место в помещении, в отличие от распашной конструкции. В качестве основного материала производитель использует закаленное стекло повышенной прочности и устойчивости.  Не подведет и функционал этой модели. Душевая кабина оснащается верхним тропическим душем, многофункциональной душевой лейкой, подсветкой, вентиляцией, сенсорным пультом.
Цена в рублях	73500
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Веб Маркет
Количество отзывов	0
Тип	Душевая кабина
Длина, см	120
Ширина, см	80
Высота, см	218
Толщина стекла, мм	4
Стекло	Матовое
Управление	Автоматическое
Адрес товара	https://www.ozon.ru/product/275407542?oos_search=false
Статус 	Закончился
