Название товара	Душевая кабина TIMO T-1115
Описание товара	Душевая кабина TIMO T-1115 выглядит очень стильно благодаря затемненным задним стенкам., , Конструкция предусматривает раздвижные двери – для их изготовления используется высокопрочное стекло толщиной 5 мм. Поддон достаточно невысокий, что облегчает вход и выход из бокса. Он выполнен из листового акрила, который гарантирует устойчивость, прочность к высоким нагрузкам, простоту ухода, гигиеничность и долговечность службы., , Верхний тропический душ – это очень приятная процедура, так как потоки воды окутывают все тело пользователя. Еще больше расслабиться и укрепить свое здоровье вам поможет гидромассаж.
Цена в рублях	124900
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Веб Маркет
Количество отзывов	0
Тип	Душевая кабина
Длина, см	120
Ширина, см	90
Высота, см	220
Толщина стекла, мм	5
Стекло	Тонированное
Управление	Автоматическое
Страна-изготовитель	Финляндия
Форма	Прямоугольник
Число дверей	1
Материал поддона	Акрил
Ориентация установки	Универсальная
Материал дверей	Стекло
Число форсунок	6
Цвет фурнитуры	Серебристый
Бренд	Timo
Гарантия	5 лет
Высота поддона	Низкий
Двери	Раздвижные в стороны
Монтаж	На поддон
Материал задней стенки	Стекло
Адрес товара	https://www.ozon.ru/product/275454631?oos_search=false
Статус 	Закончился
