Название товара	Душевая кабина TIMO ILMA-901
Описание товара	За счет угловой открытой конструкции душевая кабина ILMA-901 занимает немного места., , Здесь все создавалось для вашего комфорта. Самое главное – это безупречное качество используемых материалов. Низкий и очень устойчивый поддон из акрила, стенки и двери из закалённого стекла, металлическая ручка и прочный металлопрофиль – все это становится главной гарантией того, что душевая кабина прослужит вам долго., , Стильный дизайн изделия привлекает к себе всеобщее внимание. Такая простая, лаконичная, но вместе с тем – очень красивая кабина станет настоящим украшением интерьера!
Цена в рублях	115600
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Веб Маркет
Количество отзывов	0
Тип	Душевая кабина
Длина, см	100
Ширина, см	100
Высота, см	225
Толщина стекла, мм	6
Стекло	Прозрачное
Управление	Ручное
Страна-изготовитель	Финляндия
Ориентация установки	Универсальная
Бренд	Timo
Число дверей	2
Двери	Раздвижные в стороны
Гарантия	5 лет
Материал задней стенки	Стекло
Форма	Четверть круга
Монтаж	На поддон
Цвет фурнитуры	Серебристый
Материал поддона	Акрил
Материал дверей	Стекло
Высота поддона	Низкий
Адрес товара	https://www.ozon.ru/product/275495925?oos_search=false
Статус 	Закончился
