Название товара	Душевой уголок PARLY ZS90
Описание товара	90х90х195 см Современный вариант уголка для дачи и бани с оригинальным рисунком. Parly ZS90 - это душевой уголок полукруглой формы (четверть круга), стандартных размеров 90х90 см, с раздвижными дверьми, в комплекте со средним поддоном из АВС акрила. Стекла закаленные, ударопрочные, матовые с узором, толщиной 5 мм. Поддон, в комплекте с сифоном, на усиленном каркасе с регулируемыми ножками. Профиль – алюминий полированный. Производство - «Parly» (Китай/Россия) Гарантия - 1 год Срок службы – 10 лет Parly - это бюджетная серия душевых кабин, гидромассажных боксов и душевых уголков, изготовленная в Китае на современной фабрике, с использованием итальянского оборудования Jacuzzi. Торговая марка «Parly» с 2007 года принадлежит известному международному производителю изделий из акрила и стекла - компании Appollo. Российские покупатели отдают предпочтение душевым кабинам Parly, в первую очередь благодаря доступным и выгодным ценам
Цена в рублях	16990
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Shower5.ru
Количество отзывов	0
Тип	Душевой уголок
Длина, см	90
Высота, см	195
Страна-изготовитель	Китай
Цвет	Серебристый
Ориентация установки	Универсальная
Бренд	Parly
Адрес товара	https://www.ozon.ru/product/277977074?oos_search=false
Статус 	Закончился
