Название товара	Душевая кабина PARLY AE90
Описание товара	Светлая компактная кабина подойдет в дом молодой семьи: высокие борты поддона позволяют набирать воду для замачивания вещей и купания детей, животных.
Цена в рублях	30800
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Веб Маркет
Количество отзывов	0
Тип	Душевая кабина
Длина, см	90
Ширина, см	90
Высота, см	215
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Цвет	Белый
Размеры, мм	900х900х2150
Форма	Четверть круга
Высота поддона	Высокий
Материал задней стенки	Акрил
Монтаж	На поддон
Гарантия	1 год
Ориентация установки	Универсальная
Число дверей	2
Материал поддона	Акация
Материал дверей	Закаленное стекло
Цвет стенки	Белый
Двери	Раздвижные в стороны
Цвет фурнитуры	Белый
Бренд	Parly
Адрес товара	https://www.ozon.ru/product/278100764?oos_search=false
Статус 	Закончился
