Название товара	Душевая кабина PARLY BE118
Описание товара	Просторный душевой уголок с высоким поддоном. Светлая модель актуальна для любого оформления ванной комнаты. Внутри кабины достаточно места, чтобы с комфортом принимать водные процедуры. Кабина герметична, вода сквозь стыки не просачивается. Внутри хорошо сохраняется тепло.
Цена в рублях	53100
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Веб Маркет
Количество отзывов	0
Тип	Душевая кабина
Длина, см	118
Ширина, см	118
Высота, см	215
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	1180х1180х2150
Бренд	Parly
Материал поддона	Акрил
Установлено	Полка
Число дверей	2
Гарантия	1 год
Двери	Раздвижные в стороны
Материал задней стенки	Закаленное стекло
Форма	Четверть круга
Материал дверей	Закаленное стекло
Высота поддона	Высокий
Цвет фурнитуры	Серебристый
Монтаж	На поддон
Адрес товара	https://www.ozon.ru/product/278100767?oos_search=false
Статус 	Закончился
