Название товара	Душевая кабина Parly BM121L
Описание товара	Душевая кабина ParlyBM121L, , Размер: 80х120х215 см, , Светлая кабина – универсальна. Модель впишется в любой интерьер ванной комнаты. Внутри душевой зоны достаточно места, чтобы принимать душ вдвоем., , Достоинства:, Левосторонняя модель., Матовое закаленное стекло (4 мм) устойчиво к случайным ударам и не нуждается в частой уборке., Задние стенки из закаленного белого стекла толщиной 4 мм., За счет отсутствия центральной панели внутри уголка больше места., Профиль: белый алюминиевый. Не подвержен коррозии., Поддон: средний 26 см с бортиком 2 см, ассиметричный. Предупреждает разбрызгивание воды. Высоту поддона смогут преодолеть пожилые и люди, имеющие проблемы со здоровьем., Комплектация: полка, верхний душ ТРОПИК, ручной душ NEW, слив-перелив, магнитный замок soft close
Цена в рублях	43000
Цена без скидки	-
Оценка покупателей	80%
Название магазина	Веб Маркет
Количество отзывов	1
Тип	Душевая кабина
Длина, см	80
Ширина, см	120
Высота, см	215
Толщина стекла, мм	4
Стекло	Матовое
Страна-изготовитель	Китай
Число дверей	2
Форма	Нестандартная
Ориентация установки	Левосторонняя
Материал дверей	Стекло
Монтаж	Напольный
Материал поддона	Акрил
Цвет стенки	Белый
Бренд	Parly
Двери	Раздвижные в стороны
Гарантия	1 год
Высота поддона	Низкий
Адрес товара	https://www.ozon.ru/product/278100785?oos_search=false
Статус 	Закончился
