Название товара	Душевая кабина Parly ECM92NR
Описание товара	Темная душевая кабина станет стильным акцентов в ванной комнате. Модель без крыши подойдет в санузел с низким потолком и для высоких людей, которые упираются головой в крышу стандартных кабин.
Цена в рублях	31300
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Веб Маркет
Количество отзывов	0
Тип	Душевая кабина
Длина, см	90
Ширина, см	90
Высота, см	200
Толщина стекла, мм	4
Стекло	Тонированное
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	900х900х2000
Материал поддона	Акрил
Форма	Полукруг
Материал задней стенки	Стекло
Число дверей	2
Ориентация установки	Универсальная
Материал дверей	Стекло
Цвет стенки	Черный
Цвет фурнитуры	Белый
Гарантия	1 год
Высота поддона	Низкий
Двери	Раздвижные в стороны
Бренд	Parly
Установлено	Ручной душ
Монтаж	На поддон
Адрес товара	https://www.ozon.ru/product/278103883?oos_search=false
Статус 	Закончился
