Название товара	Душевая кабина Parly F81
Описание товара	Компактная кабина занимает минимум места в ванной комнате. За счет отсутствия центрального столбы внутри кабины больше пространства, чем в моделях аналогичного размера.
Цена в рублях	33000
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Веб Маркет
Количество отзывов	0
Тип	Душевая кабина
Длина, см	80
Ширина, см	80
Высота, см	215
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Цвет	Белый-Серебристый
Бренд	Parly
Материал поддона	Акрил
Высота поддона	Низкий
Гарантия	1 год
Монтаж	На поддон
Число дверей	2
Двери	Открывающиеся в стороны
Материал дверей	Закаленное стекло
Материал задней стенки	Стекло
Адрес товара	https://www.ozon.ru/product/278107959?oos_search=false
Статус 	Закончился
