Название товара	Душевая кабина Deto D90
Описание товара	Безсиликоновая сборка;, Резьбовые соединения;, Металические (верхние и нижние) саморегулирующиеся безопасные ролики в пластиковом антикоррозийном кожухе;, Армированный акриловый поддон на металлическом каркасе;, Антильскользящее покрытие;, Задние стенки изготовлены из белого ударопрочного стекла толщиной 4 мм., Переднее матовое закаленное стекло толщиной 4 мм., Алюминиевый глянцевый профиль;, Латунный смеситель и переключатель режимов;, Полочка с ограничителем;, Зеркало;, Крепление ( крючок ) для мочалок;, Штанга для регулирование высоты ручной лейки;, Ручная лейка d 140 мм., Высота поддона 50 см., Передний съемный экран;, Встроенная литая сидушка;, Донный клапан ( клик-клак ), Сифон с гидрозатвором
Цена в рублях	39300
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Веб Маркет
Количество отзывов	0
Тип	Душевая кабина
Длина, см	90
Ширина, см	90
Высота, см	200
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Финляндия
Размеры, мм	900х900х2080
Двери	Раздвижные в стороны
Материал задней стенки	Стекло
Цвет стенки	Белый
Цвет фурнитуры	Серебристый
Установлено	Ручной душ
Гарантия	5 лет
Форма	Четверть круга
Материал дверей	Стекло
Материал поддона	Акрил
Число дверей	2
Высота поддона	Высокий
Ориентация установки	Универсальная
Бренд	DETO
Монтаж	На поддон
Адрес товара	https://www.ozon.ru/product/279425543?oos_search=false
Статус 	Закончился
