Название товара	Душевая кабина DETO D271
Описание товара	• Монтаж душевой кабины осуществляется без использования силикона , , •  Латунный смеситель с керамическими картриджами и резьбовыми соединениями   , , • 100% акриловый поддон с дренажными отводами, высотой 27 см со съемным экраном усиленный металлическим каркасом с антискользящим покрытием   , , • Матовое безопасное закаленное сверхпрочное стекло толщиной 4 мм с антикальциевой обработкой, , • Душевая штанга с регулировкой лейки по высоте и ручная лейка с силиконовыми форсунками диаметром 140 мм с функцией переключения режимов , , • Шланг 1,5 метра Anti-Twist (не скручивается). Поворот шланга 360*, , • Ручной душ оснащен системой Easy Clean, , • Бесшумные двойные ролики из нержавеющей стали          , , • Донный клапан с системой клик-клак с гидрозатвором, , • Зеркало и стеклянная полка с ограничителем, , • Крепление (крючок) , , • Хромированные ручки
Цена в рублях	43500
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Веб Маркет
Количество отзывов	0
Тип	Душевая кабина
Длина, см	100
Ширина, см	100
Высота, см	210
Толщина стекла, мм	4
Стекло	Матовое
Управление	Автоматическое
Страна-изготовитель	Финляндия
Размеры, мм	1000х1000х2100
Цвет фурнитуры	Серебристый
Ориентация установки	Универсальная
Высота поддона	Средний
Материал задней стенки	Стекло
Цвет стенки	Белый
Установлено	Ручной душ
Форма	Полукруг
Бренд	DETO
Материал дверей	Закаленное стекло
Гарантия	5 лет
Материал поддона	Акрил
Двери	Раздвижные в стороны
Число дверей	2
Монтаж	На поддон
Адрес товара	https://www.ozon.ru/product/279435119?oos_search=false
Статус 	Закончился
