Название товара	Душевая кабина Deto V8015
Описание товара	Безсиликоновая сборка;, Сборка изнутри;, Резьбовые соединения;, Акриловый поддон на металлическом оцинкованном каркасе;, Закаленные, ударопрочные стекла 5 мм спереди;, Задние белые закаленные, ударопрочные стекла;, Металлические ролики (как сверху, так и снизу)в антикоррозийном корпусе;, Сдвижная дверь обеспечивает удобный заход в кабину;, Штанга для ручной лейки с регулировкой по высоте;, Широкий верхний душ с самоочищающимися резиновыми джетами;, Трехрежимный переключатель режимов;, Смеситель регулировки температуры и напора воды с керамическим картриджем;, Сенсерный пульт управления;, Вентилятор под вытяжку;, Встроенный динамик (радио);, Освещение (встроенные в крышу два фонаря);, Зеркало, расположенное на удобной высоте;, Две, удобно расположенные, полочки;, Три регулируемые вертикальные форсунки гидромассажа;
Цена в рублях	70400
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Веб Маркет
Количество отзывов	0
Тип	Душевая кабина
Длина, см	80
Ширина, см	80
Высота, см	220
Толщина стекла, мм	6
Стекло	Прозрачное
Управление	Автоматическое
Страна-изготовитель	Финляндия
Размеры, мм	800х800х2200
Бренд	DETO
Установлено	Гидромассаж
Число дверей	1
Цвет стенки	Белый
Цвет фурнитуры	Серебристый
Материал задней стенки	Стекло
Ориентация установки	Универсальная
Форма	Квадрат
Материал дверей	Стекло
Материал поддона	Акрил
Высота поддона	Низкий
Гарантия	5 лет
Число форсунок	3
Двери	Складные
Монтаж	На поддон
Адрес товара	https://www.ozon.ru/product/280125207?oos_search=false
Статус 	Закончился
