Название товара	Душевая кабина DETO D279S
Описание товара	Бессиликоновая сборка;, Резьбовые соединения;, Металлические (верхние и нижние) саморегулирующиеся безопасные ролики в пластиковом антикоррозийном кожухе;, Армированный акриловый поддон на металлическом каркасе;, Антискользящее покрытие;, 100% акриловый поддон с дренажными отводами, высотой 27 см со съемным экраном усиленный металлическим каркасом , Задние стенки изготовлены из белого ударопрочного стекла толщиной 4 мм., Переднее матовое закаленное стекло толщиной 4 мм., Алюминиевый глянцевый профиль;, Латунный смеситель и переключатель режимов;, Полочка с ограничителем;, Зеркало;, Верхняя лейка (тропический дождь);, Крыша с вентиляционными отверстиями;, Штанга для регулирование высоты ручной лейки;, Ручная лейка d 140 мм;, Сифон с гидрозатвором;, Встроенный крючок.
Цена в рублях	46100
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Веб Маркет
Количество отзывов	0
Тип	Душевая кабина
Длина, см	90
Ширина, см	90
Высота, см	220
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Финляндия
Размеры, мм	900х900х2200
Гарантия	5 лет
Двери	Раздвижные в стороны
Цвет стенки	Белый
Бренд	DETO
Установлено	Ручной душ
Форма	Полукруг
Число дверей	2
Материал задней стенки	Стекло
Материал поддона	Акрил
Материал дверей	Закаленное стекло
Монтаж	На поддон
Высота поддона	Средний
Цвет фурнитуры	Серебристый
Адрес товара	https://www.ozon.ru/product/280304425?oos_search=false
Статус 	Закончился
