Название товара	Душевая кабина Timo T-7715
Описание товара	Комплектация:, , - кабина с крышей, , - акриловый поддон низкий, на усиленном каркасе, высота 15 см., , - анодированный алюминиевый хромованный профиль., , - акриловая армированная, монолитная задняя стенка, , - сенсорный пульт управления., , - подсветка верхняя., , - FM-радио., , - вентиляция., , - смеситель однорычажный - три режима., , - тропический душ., , - лейка с гибким шлангом, , - гидромассаж спины: 6 форсунок, , - двойные ролики., , - стеклянная полочка., , - ручки., , Дополнительная информация:, , - душевой поддон изготовлен их высококачественного 100% сантехнического акрила толщиной 6 мм, который сохраняет блеск и белизну на долгие годы, при этом отличается высокой прочностью, а также стойкостью к воздействию ультрафиолета и агрессивных веществ, , - металлические ролики для дверей изготовлены из металла с полиуретановым покрытием, что обеспечивает мягкость и бесшумность хода, а также повышенную износостойкость, , - современный пульт управления сенсорного типа последнего поколения TSCP (touch screen control panel) обеспечивает дополнительные удобства и комфорт, , - сифон оборудован удобной сливной системой «clik/clak», которая открывает/закрывает слив нажатием ноги или руки, , - душевой поддон имеют рифленое дно противоскольжения «Antislip», что обеспечивает дополнительные удобства и гарантии при приеме душа., Показать полностью
Цена в рублях	127300
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Shower5.ru
Количество отзывов	0
Тип	Душевая кабина
Длина, см	120
Ширина, см	90
Высота, см	220
Толщина стекла, мм	6
Стекло	Прозрачное
Управление	Электронное
Страна-изготовитель	Финляндия
Цвет	Прозрачный
Размеры, мм	1200х900х2200
Бренд	Timo
Число форсунок	6
Материал дверей	Закаленное стекло
Двери	Раздвижные в стороны
Гарантия	1 год
Монтаж	На поддон
Высота поддона	Низкий
Материал поддона	Акрил
Форма	Прямоугольник
Ориентация установки	Универсальная
Число дверей	1
Установлено	Гидромассаж
Возможна установка	Турецкая баня
Адрес товара	https://www.ozon.ru/product/280824525?oos_search=false
Статус 	В наличии
