Название товара	Душевая кабина Erlit ER5710P-C24
Описание товара	Кабина, зеркало, полочка, рейлинг для душа-лейки
Цена в рублях	53949
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Sanbravo DBS
Количество отзывов	0
Тип	Душевая кабина
Ширина, см	100
Высота, см	215
Стекло	Тонированное
Страна-изготовитель	Россия
Цвет	Белый
Размеры, мм	1000x1000x2150
Двери	Раздвижные в стороны
Материал поддона	Акрил
Гарантия	1 год
Форма	Четверть круга
Ориентация установки	Универсальная
Число дверей	2
Бренд	Erlit
Высота поддона	Низкий
Адрес товара	https://www.ozon.ru/product/281477850?oos_search=false
Статус 	Закончился
