Название товара	Душевая кабина Enigma
Описание товара	Вид поддона: низкий. Комплектация: Душевая кабина, душевой гарнитур, инструкция. Высота поддона (см) 13 Исполнение полотна двери: прозрачное. Толщина полотна дверей, мм 0.6. Конструкция дверей: распашная. Количество секций двери: 1. Турецкая баня: Нет. Инфракрасная сауна: Нет. Материал задней стенки: стекло. Расположение: угловая. Наличие крыши: закрытая, c крышей. Встроенное сиденье: Нет. Освещение: нет. Вентиляция: Есть. Зеркало: нет. Полки: Да. Гарантия: 2 года. Вход: спереди. Цвет корпуса: белый. Регулируемая высота ножек: да. Материал поддона: акрил.
Цена в рублях	60679
Цена без скидки	-
Оценка покупателей	100%
Название магазина	STURM
Количество отзывов	1
Тип	Душевая кабина
Длина, см	90
Ширина, см	90
Высота, см	212
Толщина стекла, мм	0.6
Стекло	Прозрачное
Управление	Ручное
Страна-изготовитель	Китай
Цвет	Прозрачный
Размеры, мм	900х900х2120
Цвет фурнитуры	Серебристый
Число дверей	1
Материал поддона	Акрил
Цвет стенки	Прозрачный
Материал задней стенки	Стекло
Форма	Полукруг
Гарантия	2 года
Бренд	STURM
Двери	Открывающиеся влево
Монтаж	На поддон
Ориентация установки	Универсальная
Материал дверей	Стекло
Высота поддона	Низкий
Установлено	Ручной душ
Адрес товара	https://www.ozon.ru/product/286356744?oos_search=false
Статус 	Закончился
