Название товара	Душевая кабина Flavor
Описание товара	Вид поддона: низкий. Комплектация: Душевая кабина, душевой гарнитур, инструкция. Высота поддона (см) 13 Исполнение полотна двери: прозрачное. Толщина полотна дверей, мм 0.6. Конструкция дверей: раздвижная. Количество секций двери: 2. Турецкая баня: Нет. Инфракрасная сауна: Нет. Материал задней стенки: стекло. Расположение: угловая. Наличие крыши: закрытая, c крышей. Встроенное сиденье: Нет. Освещение: нет. Вентиляция: Есть. Зеркало: нет. Полки: Да. Гарантия: 2 года. Вход: спереди. Цвет корпуса: белый. Регулируемая высота ножек: да. Материал поддона: акрил.
Цена в рублях	75327
Цена без скидки	-
Оценка покупателей	100%
Название магазина	STURM
Количество отзывов	1
Тип	Душевая кабина
Длина, см	110
Ширина, см	110
Высота, см	212
Толщина стекла, мм	0.6
Стекло	Прозрачное
Управление	Ручное
Страна-изготовитель	Китай
Цвет	Прозрачный
Размеры, мм	1100х1100х2120
Бренд	STURM
Материал дверей	Стекло
Гарантия	2 года
Материал поддона	Акрил
Монтаж	На поддон
Число дверей	2
Ориентация установки	Универсальная
Цвет стенки	Прозрачный
Установлено	Ручной душ
Двери	Раздвижные в стороны
Высота поддона	Низкий
Материал задней стенки	Стекло
Форма	Полукруг
Цвет фурнитуры	Серебристый
Адрес товара	https://www.ozon.ru/product/286440451?oos_search=false
Статус 	Закончился
