Название товара	Душевая кабина Play
Описание товара	Вид поддона: низкий. Комплектация: Душевая кабина, душевой гарнитур, инструкция. Высота поддона (см) 13 Исполнение полотна двери: прозрачное. Толщина полотна дверей, мм 0.6. Конструкция дверей: распашная. Количество секций двери: 1. Турецкая баня: Нет. Инфракрасная сауна: Нет. Материал задней стенки: стекло. Расположение: угловая. Наличие крыши: закрытая, c крышей. Встроенное сиденье: Нет. Освещение: нет. Вентиляция: Есть. Зеркало: нет. Полки: Да. Гарантия: 2 года. Вход: спереди. Цвет корпуса: белый. Регулируемая высота ножек: да. Материал поддона: акрил.
Цена в рублях	61987
Цена без скидки	-
Оценка покупателей	100%
Название магазина	STURM
Количество отзывов	1
Тип	Душевая кабина
Длина, см	100
Ширина, см	80
Высота, см	212
Толщина стекла, мм	0.6
Стекло	Прозрачное
Управление	Ручное
Страна-изготовитель	Китай
Цвет	Прозрачный
Размеры, мм	1000х800х2120
Бренд	STURM
Число дверей	1
Монтаж	На поддон
Установлено	Ручной душ
Цвет стенки	Прозрачный
Гарантия	2 года
Цвет фурнитуры	Серебристый
Форма	Прямоугольник
Материал поддона	Акрил
Материал задней стенки	Стекло
Материал дверей	Стекло
Ориентация установки	Универсальная
Двери	Открывающиеся влево
Высота поддона	Низкий
Адрес товара	https://www.ozon.ru/product/286480430?oos_search=false
Статус 	Закончился
