Название товара	Душевая кабина Wind
Описание товара	Вид поддона: низкий. Комплектация: Душевая кабина, душевой гарнитур, инструкция. Высота поддона (см) 5 Исполнение полотна двери: прозрачное. Толщина полотна дверей, мм 0.6. Конструкция дверей: раздвижная. Количество секций двери: 1. Турецкая баня: Нет. Инфракрасная сауна: Нет. Материал задней стенки: стекло. Расположение: угловая. Наличие крыши: закрытая, c крышей. Встроенное сиденье: Нет. Освещение: нет. Вентиляция: Есть. Зеркало: нет. Полки: Да. Гарантия: 2 года. Вход: спереди. Цвет корпуса: белый. Регулируемая высота ножек: да. Материал поддона: акрил.
Цена в рублях	70881
Цена без скидки	-
Оценка покупателей	100%
Название магазина	STURM
Количество отзывов	1
Тип	Душевая кабина
Длина, см	110
Ширина, см	110
Высота, см	212
Толщина стекла, мм	0.6
Стекло	Прозрачное
Управление	Ручное
Страна-изготовитель	Китай
Цвет	Прозрачный
Размеры, мм	1100х1100х2120
Число дверей	1
Высота поддона	Низкий
Монтаж	На поддон
Материал дверей	Стекло
Форма	Квадрат
Двери	Раздвижные в стороны
Цвет фурнитуры	Серебристый
Бренд	STURM
Ориентация установки	Универсальная
Цвет стенки	Прозрачный
Материал задней стенки	Стекло
Установлено	Ручной душ
Гарантия	2 года
Материал поддона	Акрил
Адрес товара	https://www.ozon.ru/product/286487705?oos_search=false
Статус 	Закончился
