Название товара	Душевая кабина ESBANO ES-80С
Описание товара	Кабина полукруглая -низкий (15 см) акриловый поддон-сифон с гидрозатвором-задние стекла: закаленное крашенное стекло (белое, 5мм)-передние стекла: закаленное рифленое стекло 5 мм)-профиль матовый хром-смеситель-душевая многофункциональная лейка-штанга с держателем и мыльницей-большое зеркало с фацетом 38х69-стеклянная полочка (35 см) с отверстием под стакан и ограничителем-стеклянный стакан-двойные (спаренные) верхние роликиРАЗМЕР: 80 х 80 х 210
Цена в рублях	38325
Цена без скидки	-
Оценка покупателей	100%
Название магазина	Santechnika.su
Количество отзывов	1
Тип	Душевая кабина
Длина, см	80
Ширина, см	80
Высота, см	210
Толщина стекла, мм	4
Стекло	Матовое
Страна-изготовитель	Испания
Размеры, мм	800х800х2100
Форма	Четверть круга
Высота поддона	Низкий
Цвет стенки	Белый
Двери	Раздвижные в стороны
Материал поддона	Акрил
Бренд	Esbano
Ориентация установки	Универсальная
Монтаж	Напольный
Материал задней стенки	Закаленное стекло
Гарантия	1 год
Число дверей	2
Материал дверей	Закаленное стекло
Адрес товара	https://www.ozon.ru/product/287277507?oos_search=false
Статус 	Закончился
