Название товара	Душевая кабина ESBANO ESB-100СKR
Описание товара	"Описание товара, , - низкий (15 см) акриловый поддон черного цвета, , - сифон с гидрозатвором, крышка сифона в цвет поддона, , - задние стекла: закаленное крашеное белое стекло, закаленное крашеное декорированное стекло (5 мм), , - передние стекла: закаленное прозрачное стекло с покрытием ""easy clean"" (5 мм), , - профиль матовый черный, , - смеситель матовый черный, , - душевая многофункциональная лейка со шлангом чёрного матового цвета, , - держатель лейки чёрный матовый, , - полочка для шампуня чёрная матовая, , - двойные (спаренные) верхние и нижние ролики чёрного цвета, , - верхний душ с прорезиненными соплами, , РАЗМЕР: 100х100х210 см"
Цена в рублях	53550
Цена без скидки	-
Оценка покупателей	100%
Название магазина	Santechnika.su
Количество отзывов	1
Тип	Душевая кабина
Длина, см	100
Ширина, см	100
Высота, см	210
Толщина стекла, мм	5
Стекло	Прозрачное
Страна-изготовитель	Испания
Размеры, мм	1000х1000х2100
Цвет стенки	Белый
Материал задней стенки	Закаленное стекло
Материал поддона	Акрил
Бренд	Esbano
Форма	Квадрат
Двери	Раздвижные в стороны
Число дверей	2
Гарантия	1 год
Монтаж	Напольный
Высота поддона	Низкий
Цвет фурнитуры	Черный
Материал дверей	Закаленное стекло
Адрес товара	https://www.ozon.ru/product/287283079?oos_search=false
Статус 	Закончился
