Название товара	Душевая кабина ESBANO-ESW-129CKR
Описание товара	Описание товара, , - универсальная (сборка в правом или левом исполнении), , - низкий (15 см) акриловый поддон, , - сифон с гидрозатвором, , - задние стекла: закаленное крашеное стекло (белое, 5 мм), , - передние стекла: закаленное рифленое стекло (5 мм), , - крыша: закаленное крашеное стекло (белое, 5 мм), , - профиль матовый хром, , - смеситель, , - душевая многофункциональная лейка, , - тропический душ, , - вентиляционная решетка, , - штанга с держателем и мыльницей, , - большое зеркало с фацетом 69х38, , - стеклянная полочка (65 см) с отверстием под стакан и ограничителем, , - стеклянный стакан, , - двойные (спаренные) верхние ролики, , РАЗМЕР: 120х90х210 см
Цена в рублях	57225
Цена без скидки	-
Оценка покупателей	100%
Название магазина	Santechnika.su
Количество отзывов	1
Тип	Душевая кабина
Длина, см	120
Ширина, см	90
Высота, см	210
Толщина стекла, мм	5
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Испания
Цвет	Прозрачное
Монтаж	Напольный
Высота поддона	Низкий
Цвет стенки	Белый
Материал задней стенки	Закаленное стекло
Бренд	Esbano
Цвет фурнитуры	Серебристый
Материал дверей	Закаленное стекло
Материал поддона	Акрил
Форма	Прямоугольник
Число дверей	2
Двери	Раздвижные в стороны
Гарантия	1 год
Адрес товара	https://www.ozon.ru/product/287291186?oos_search=false
Статус 	Закончился
