Название товара	Душевая кабина Esbano ES-118CKR
Описание товара	Описание товара, , - универсальная (сборка в правом или левом исполнении), , - низкий (15 см) акриловый поддон, , - сифон с гидрозатвором, , - задние стекла: закаленное крашеное стекло (белое, 5 мм), , - передние стекла: закаленное рифленое стекло (5 мм), , - крыша: закаленное крашеное стекло (белое, 5 мм), , - профиль матовый хром, , - смеситель, , - душевая многофункциональная лейка, , - тропический душ, , - вентиляционная решетка, , - штанга с держателем и мыльницей, , - большое зеркало с фацетом 69х38, , - стеклянная полочка (65 см) с отверстием под стакан и ограничителем, , - стеклянный стакан, , - двойные (спаренные) верхние ролики, , РАЗМЕР: 110х85х210 см
Цена в рублях	54600
Цена без скидки	-
Оценка покупателей	100%
Название магазина	Santechnika.su
Количество отзывов	1
Тип	Душевая кабина
Длина, см	118
Ширина, см	85
Высота, см	210
Толщина стекла, мм	5
Стекло	Матовое
Страна-изготовитель	Испания
Цвет	Матовое белое
Материал поддона	Акрил
Высота поддона	Низкий
Ориентация установки	Универсальная
Число дверей	2
Двери	Раздвижные в стороны
Форма	Прямоугольник
Бренд	Esbano
Цвет фурнитуры	Серебристый
Гарантия	1 год
Цвет стенки	Белый
Материал задней стенки	Закаленное стекло
Монтаж	На растяжке
Материал дверей	Закаленное стекло
Адрес товара	https://www.ozon.ru/product/287296025?oos_search=false
Статус 	Закончился
