Название товара	Душевая кабина ESBANO-110CR
Описание товара	Описание товара, , - низкий (15 см) акриловый поддон, , - сифон с гидрозатвором, , - задние стекла: закаленное крашеное стекло (белое, 5 мм), , - передние стекла: закаленное рифленое стекло (5 мм), , - крыша: закаленное крашеное стекло (белое, 5 мм), , - профиль матовый хром, , - смеситель, , - душевая многофункциональная лейка, , - тропический душ, , - вентиляционная решетка, , - штанга с держателем и мыльницей, , - большое зеркало с фацетом 38х69, , - стеклянная полочка (35 см) с отверстием под стакан и ограничителем, , - стеклянный стакан-двойные (спаренные) верхние ролики, , РАЗМЕР: 110х110х210 см
Цена в рублях	54075
Цена без скидки	-
Оценка покупателей	100%
Название магазина	Santechnika.su
Количество отзывов	1
Тип	Душевая кабина
Длина, см	110
Ширина, см	110
Высота, см	210
Толщина стекла, мм	5
Стекло	Матовое
Страна-изготовитель	Испания
Цвет	Матовое белое
Размеры, мм	1100х1100х2100
Бренд	Esbano
Ориентация установки	Универсальная
Материал задней стенки	Закаленное стекло
Гарантия	1 год
Цвет фурнитуры	Серебристый
Материал дверей	Закаленное стекло
Число дверей	2
Высота поддона	Низкий
Цвет стенки	Белый
Форма	Четверть круга
Материал поддона	Акрил
Двери	Раздвижные в стороны
Адрес товара	https://www.ozon.ru/product/287342336?oos_search=false
Статус 	Закончился
