Название товара	Душевая кабина Esbano ES-80CR
Описание товара	Описание товара, , - низкий (15 см) акриловый поддон, , - сифон с гидрозатвором, , - задние стекла: закаленное крашеное стекло (белое, 5 мм), , - передние стекла: закаленное рифленое стекло (5 мм), , - крыша: закаленное крашеное стекло (белое, 5 мм), , - профиль матовый хром, , - смеситель, , - душевая многофункциональная лейка, , - тропический душ, , - вентиляционная решетка, , - штанга с держателем и мыльницей, , - большое зеркало с фацетом 38х69, , - стеклянная полочка (35 см) с отверстием под стакан и ограничителем, , - стеклянный стакан-двойные (спаренные) верхние ролики, , РАЗМЕР: 80х80х210 см
Цена в рублях	44625
Цена без скидки	-
Оценка покупателей	100%
Название магазина	Santechnika.su
Количество отзывов	1
Тип	Душевая кабина
Длина, см	80
Ширина, см	80
Высота, см	210
Толщина стекла, мм	5
Стекло	Матовое
Страна-изготовитель	Испания
Цвет	Матовое белое
Размеры, мм	800х800х2100
Двери	Раздвижные в стороны
Гарантия	1 год
Ориентация установки	Универсальная
Форма	Четверть круга
Число дверей	2
Цвет фурнитуры	Серебристый
Монтаж	Напольный
Материал задней стенки	Закаленное стекло
Материал поддона	Акрил
Цвет стенки	Белый
Материал дверей	Закаленное стекло
Высота поддона	Низкий
Бренд	Esbano
Адрес товара	https://www.ozon.ru/product/287344590?oos_search=false
Статус 	Закончился
