Название товара	Душевая кабина ESBANO-115CR RGHT
Описание товара	Описание товара, , - низкий (15 см) акриловый поддон, , - сифон с гидрозатвором, , - задние стекла: закаленное крашеное стекло (белое, 5 мм), , - передние стекла: закаленное рифленое стекло (5 мм), , - крыша: закаленное крашеное стекло (белое, 5 мм), , - профиль матовый хром, , - смеситель, , - душевая многофункциональная лейка, , - тропический душ, , - вентиляционная решетка, , - штанга с держателем и мыльницей, , - большое зеркало с фацетом 69х38, , - стеклянная полочка (65 см) с отверстием под стакан и ограничителем, , - стеклянный стакан, , - двойные (спаренные) верхние ролики, , РАЗМЕР: 115х85х210 см
Цена в рублях	49875
Цена без скидки	-
Оценка покупателей	100%
Название магазина	Santechnika.su
Количество отзывов	1
Тип	Душевая кабина
Длина, см	115
Ширина, см	85
Высота, см	210
Толщина стекла, мм	5
Стекло	Матовое
Страна-изготовитель	Испания
Цвет	Матовое белое
Бренд	Esbano
Материал поддона	Акрил
Монтаж	Напольный
Материал задней стенки	Закаленное стекло
Форма	Нестандартная
Число дверей	2
Высота поддона	Низкий
Двери	Раздвижные в стороны
Гарантия	1 год
Цвет стенки	Белый
Ориентация установки	Правосторонняя
Материал дверей	Закаленное стекло
Цвет фурнитуры	Серебристый
Адрес товара	https://www.ozon.ru/product/287345628?oos_search=false
Статус 	Закончился
