Название товара	Душевое ограждение Charm
Описание товара	Цвет: золото. Конструкция дверей: раздвижная. Монтаж: пристенная (правая). , , Исполнение полотна двери: прозрачное. Материал профиля: алюминий. , , Цвет исполнения профиля: хром. Количество секций двери: 2. Толщина полотна двери (мм): 5. , , Материал полотна двери: стекло. Форма: квадратная. Гарантия: 2 года. 
Цена в рублях	35588
Цена без скидки	-
Оценка покупателей	100%
Название магазина	STURM
Количество отзывов	1
Тип	Душевой уголок, Душевое ограждение
Длина, см	90
Ширина, см	90
Высота, см	195
Толщина стекла, мм	5
Стекло	Прозрачное
Страна-изготовитель	Китай
Размеры, мм	900х900х1950
Монтаж	Напольный
Двери	Раздвижные в стороны
Число дверей	2
Материал дверей	Стекло
Форма	Квадрат
Гарантия	2 года
Цвет стенки	Прозрачный
Бренд	STURM
Цвет фурнитуры	Серебристый
Ориентация установки	Универсальная
Адрес товара	https://www.ozon.ru/product/287526400?oos_search=false
Статус 	Закончился
