Название товара	Душевое ограждение Gallery
Описание товара	Конструкция дверей: раздвижная., , Исполнение полотна двери: тонированное. Материал профиля: алюминий. , , Цвет исполнения профиля: черный. Количество секций двери: 2. Толщина полотна двери (мм): 5. , , Материал полотна двери: стекло. Форма: полукруглая. Гарантия: 2 года. 
Цена в рублях	34855
Цена без скидки	-
Оценка покупателей	100%
Название магазина	STURM
Количество отзывов	1
Тип	Душевой уголок, Душевое ограждение
Длина, см	100
Ширина, см	100
Высота, см	190
Толщина стекла, мм	5
Стекло	Тонированное
Страна-изготовитель	Китай
Цвет	Черный
Размеры, мм	1000х1000х1900
Гарантия	2 года
Цвет фурнитуры	Серебристый
Число дверей	2
Форма	Полукруг
Ориентация установки	Универсальная
Материал дверей	Стекло
Бренд	STURM
Двери	Раздвижные в стороны
Монтаж	Напольный
Адрес товара	https://www.ozon.ru/product/287572279?oos_search=false
Статус 	Закончился
