Название товара	Душевое ограждение Joy
Описание товара	Конструкция дверей: раздвижная., , Цвет полотна двери: прозрачное с полосами. Материал профиля: алюминий. , , Цвет исполнения профиля: хром. Количество секций двери: 2. Толщина полотна двери (мм): 5. , , Материал полотна двери: стекло. Форма: полукруглая. Гарантия: 2 года. 
Цена в рублях	35835
Цена без скидки	-
Оценка покупателей	100%
Название магазина	STURM
Количество отзывов	1
Тип	Душевой уголок, Душевое ограждение
Длина, см	90
Ширина, см	90
Высота, см	190
Толщина стекла, мм	5
Стекло	Прозрачное
Страна-изготовитель	Китай
Цвет	Прозрачный с полосами
Размеры, мм	900х900х1900
Число дверей	2
Ориентация установки	Универсальная
Бренд	STURM
Двери	Раздвижные в стороны
Гарантия	2 года
Цвет фурнитуры	Серебристый
Монтаж	Напольный
Материал дверей	Стекло
Форма	Квадрат
Адрес товара	https://www.ozon.ru/product/287589325?oos_search=false
Статус 	Закончился
