Название товара	Душевая кабина Niagara NG-7310-14R
Описание товара	Поддон высокий 40см(сиденье на поддоне),глубина 27 см, сифон с гофрой,экран съемный, задние стенки закаленные белые крашенные без профиля, передние стекла закаленные, матовые, вентиляция, смеситель 2-х режимный, тропический душ, ручной душ, одинарные ролики, полочка Разворот кабины(L/R)определяется по прямому углу., , Выбираете удобную красивую душевую кабину для квартиры или загородного дома? Niagara NG-7310-14R это не просто практичная модель по демократичной цене, это воплощение стиля и элегантности в вашей ванной комнате., , Душевые кабины Niagara неизменно пользуются среди российских потребителей успехом благодаря своим высоким показателям комфорта и безопасности. Кроме того, продукция этой марки характеризуется привлекательным дизайном, соответствующим всем мировым тенденциям, и сравнительно невысокой ценой.
Цена в рублях	31700
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Santechnika.su
Количество отзывов	0
Тип	Душевая кабина
Длина, см	120
Ширина, см	80
Высота, см	215
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Цвет	Белый
Размеры, мм	1200х800х2150
Высота поддона	Средний
Цвет стенки	Белый
Цвет фурнитуры	Серебристый
Материал поддона	Акрил
Форма	Нестандартная
Число дверей	2
Ориентация установки	Правосторонняя
Гарантия	5 лет
Материал дверей	Закаленное стекло
Материал задней стенки	Закаленное стекло
Двери	Открывающиеся в стороны
Монтаж	На поддон
Бренд	Niagara
Адрес товара	https://www.ozon.ru/product/289173076?oos_search=false
Статус 	Закончился
