Название товара	Душевая кабина Niagara NG-211N
Описание товара	Душевая кабина Niagara NG 211 имеет форму четверть круга (угловая), ширину - 90 см, глубину - 90 см. Раздвижные двери данной модели в количестве 2 шт. обеспечат удобное использование на протяжении всего срока эксплуатации. Стекло тонированное (полупрозрачное) - это материал, который использовался для изготовления передних стенок. Вид поддона у кабины - высокий ( более 35 см). Электронное управление поможет вам проще регулировать работу изделия. Наличие сиденья: есть.
Цена в рублях	42100
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Рядом.Маркет
Количество отзывов	0
Тип	Душевая кабина
Длина, см	90
Страна-изготовитель	Германия
Материал дверей	Стекло
Материал поддона	Акрил
Бренд	Niagara
Число дверей	2
Адрес товара	https://www.ozon.ru/product/294922984?oos_search=false
Статус 	Закончился
