Название товара	Душевая кабина Niagara NG-4301BK
Описание товара	No description
Цена в рублях	24400
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Рядом Маркет
Количество отзывов	0
Тип	Душевая кабина
Длина, см	90
Стекло	Прозрачное
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	(900х900х2000)
Бренд	Niagara
Цвет фурнитуры	Серебристый
Материал дверей	Стекло
Материал поддона	Акрил
Гарантия	5 лет
Монтаж	На поддон
Цвет стенки	Светло-серый
Двери	Раздвижные в стороны
Адрес товара	https://www.ozon.ru/product/294937391?oos_search=false
Статус 	Закончился
