Название товара	Lagard LIRA F 100
Описание товара	Lagard Lira F 100 — невероятно надежная и стильная душевая кабина, поддон выдерживает нагрузку до 1000 кг! Механический термостатический смеситель позволит выставить комфортную температуру!
Цена в рублях	142012
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Доставка в дом Market-santehniki.ru
Количество отзывов	0
Тип	Душевая кабина
Длина, см	100
Ширина, см	100
Высота, см	215
Толщина стекла, мм	6
Стекло	Прозрачное
Страна-изготовитель	Германия
Размеры, мм	1000X1000X2150
Монтаж	Пристенный
Число дверей	2
Высота поддона	Низкий
Двери	Раздвижные в стороны
Установлено	Термостат
Бренд	Lagard
Цвет фурнитуры	Серебристый
Цвет стенки	Белый
Форма	Четверть круга
Адрес товара	https://www.ozon.ru/product/295046086?oos_search=false
Статус 	Закончился
