Название товара	Душевая кабина Parly AE90
Описание товара	Размеры душевой кабины Parly AE90, , Размер: 90х90х215 см, , Светлая компактная кабина подойдет в дом молодой семьи: высокие борты поддона позволяют набирать воду для замачивания вещей и купания детей, животных., , Достоинства:, Закаленное стекло толщиной 4 мм практически невозможно разбить. Матовое полотно не требует часто чистки. Сквозь стекло можно рассмотреть только контуры тела., Задние стенки из акрила., Профиль: белый алюминиевый. Профиль устойчив к коррозии и не боится высокой влажности., Поддон: высокий 48 см, полукруглый, с рельефным дном., Комплектация: верхний душ ТРОПИК, ручной душ, сифон., Возможна установка пульта управления в центральную панель.
Цена в рублях	33000
Цена без скидки	-
Оценка покупателей	88.8889%
Название магазина	VKUSS Spa
Количество отзывов	4
Тип	Душевая кабина
Длина, см	90
Ширина, см	90
Высота, см	215
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Цвет	Матовый
Размеры, мм	900х900х2150
Цвет фурнитуры	Серебристый
Установлено	Верхний душ
Ориентация установки	Универсальная
Двери	Раздвижные в стороны
Материал дверей	Закаленное стекло
Бренд	Parly
Форма	Четверть круга
Гарантия	1 год
Высота поддона	Высокий
Материал поддона	ABS пластик
Монтаж	Напольный
Материал задней стенки	Акрил
Цвет стенки	Белый
Число дверей	2
Адрес товара	https://www.ozon.ru/product/300716138?oos_search=false
Статус 	Закончился
