Название товара	Душевая кабина Parly BM121R
Описание товара	Душевая кабина Parly BM121R, , Размер: 120х80х215 см, , Светлая кабина – универсальна. Модель впишется в любой интерьер ванной комнаты. Внутри душевой зоны достаточно места, чтобы принимать душ вдвоем., , Достоинства:, Правосторонняя модель, Матовое закаленное стекло (4 мм) устойчиво к случайным ударам и не нуждается в частой уборке., Стенки из закаленного белого стекла толщиной 4 мм., За счет отсутствия центральной панели внутри уголка больше места., Профиль: белый алюминиевый. Не подвержен коррозии., Поддон: средний 26 см с бортиком 2 см, ассиметричный. Предупреждает разбрызгивание воды. Высоту поддона смогут преодолеть пожилые и люди, имеющие проблемы со здоровьем., Сборка без применения силикона. Конструкция душевой кабины обеспечивает слив воды внутрь поддона. Сам поддон по всему периметру оснащен водонепроницаемым бортиком  высотой 2 см, который исключает перелив воды за пределы душевой зоны., Комплектация: полка, верхний душ ТРОПИК, ручной душ NEW, слив-перелив, магнитный замок soft close, ,  
Цена в рублях	46000
Цена без скидки	-
Оценка покупателей	0%
Название магазина	VKUSS Spa
Количество отзывов	0
Тип	Душевая кабина
Ширина, см	80
Высота, см	215
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	1200х800х2150
Материал дверей	Закаленное стекло
Цвет фурнитуры	Белый
Материал задней стенки	Стекло
Монтаж	Напольный
Число дверей	2
Высота поддона	Средний
Гарантия	1 год
Цвет стенки	Белый
Установлено	Полка
Форма	Нестандартная
Бренд	Parly
Двери	Раздвижные в стороны
Материал поддона	ABS пластик
Адрес товара	https://www.ozon.ru/product/300729651?oos_search=false
Статус 	Закончился
