Название товара	Душевая кабина Parly BM86
Описание товара	Душевая кабина Parly BM86, , Размер: 85х85х215 см, , Светлая кабина из матового стекла лаконично впишется в любой интерьер и не будет перетягивать на себя внимание об общей задумки оформления ванной комнаты., , Достоинства:, Компактный размер. Внутри больше места, чем в других моделях в таком же размере, за счет отсутствия центральной панели., Матовое закаленное стекло (4 мм) устойчиво к случайным ударам. Матовое полотно не требует частой уборки., Задние стенки из закаленного матового стекла толщиной 4 мм, Профиль: белый алюминиевый. Не подвержен коррозии., Поддон: средний 26 см с бортиком 2 см, ассиметричный. Предупреждает разбрызгивание воды. Высоту поддона смогут преодолеть пожилые и люди, имеющие проблемы со здоровьем., Ролики: белые на клипсах, верхние двойные и одинарные нижние., Раздвижные двери ходят плавно и плотно смыкаются за счет магнитной ленты., Сборка без применения силикона. Конструкция душевой кабины обеспечивает слив воды внутрь поддона. Сам поддон по всему периметру оснащен водонепроницаемым бортиком  высотой 2 см, который исключает перелив воды за пределы душевой зоны.
Цена в рублях	39000
Цена без скидки	-
Оценка покупателей	0%
Название магазина	VKUSS Spa
Количество отзывов	0
Тип	Душевая кабина
Длина, см	85
Ширина, см	85
Высота, см	215
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	850х850х2150
Гарантия	1 год
Материал задней стенки	Стекло
Материал поддона	ABS пластик
Бренд	Parly
Форма	Четверть круга
Число дверей	2
Установлено	Полка
Монтаж	Напольный
Материал дверей	Закаленное стекло
Высота поддона	Средний
Ориентация установки	Универсальная
Цвет стенки	Белый
Двери	Раздвижные в стороны
Адрес товара	https://www.ozon.ru/product/300733778?oos_search=false
Статус 	Закончился
