Название товара	Душевая кабина Parly BMM120R
Описание товара	"Душевая кабина Parly BMM120R, , Размер: 120х80х215 см, , Угловая модель с раздвижными дверями. Она открывается вовнутрь и экономит место, что практично для маленьких ванны: достаточно свободного пространства, можно поставить в комнате больше мебели или техники., Переднее стекло: 5 мм прозрачное закаленное, ударопрочное, противоосколочное., Стенки: закаленное стекло, белое, ударопрочное, противоосколочное., Профиль: Белый, алюминиевый., Поддон: средний 26 см, асимметричный, противоскользящий., Комплектация: полка, большое встроенное зеркало, верхний душ ТРОПИК, ручной душ, сифон ""антизапах""., Особенности: без центрального столба., Сборка без применения силикона. Конструкция душевой кабины обеспечивает слив воды внутрь поддона. Сам поддон по всему периметру оснащен водонепроницаемым бортиком  высотой 2 см, который исключает перелив воды за пределы душевой зоны., Такие размеры и конфигурация позволяют заменить ванну, это практично и удобно для ванных комнат стандартной планировки большинства российских квартир."
Цена в рублях	50500
Цена без скидки	-
Оценка покупателей	100%
Название магазина	VKUSS Spa
Количество отзывов	1
Тип	Душевая кабина
Длина, см	120
Ширина, см	80
Высота, см	215
Толщина стекла, мм	5
Стекло	Прозрачное
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	1200х800х2150
Материал поддона	ABS пластик
Форма	Нестандартная
Материал дверей	Закаленное стекло
Бренд	Parly
Число дверей	2
Двери	Раздвижные в стороны
Установлено	Верхний душ
Цвет стенки	Белый
Цвет фурнитуры	Белый
Материал задней стенки	Стекло
Монтаж	Напольный
Высота поддона	Средний
Гарантия	1 год
Ориентация установки	Правосторонняя
Адрес товара	https://www.ozon.ru/product/300742024?oos_search=false
Статус 	Закончился
