Название товара	Душевая кабина Parly BMM95
Описание товара	Душевая кабина Parly BMM95, , Размер: 95х95х215 см, , Светлая кабина впишется в любое оформление ванной комнаты. Кабину легко собрать своими силами благодаря понятной инструкции., , Достоинства:, Прозрачное закаленное стекло, толщиной 4 мм. Полотно устойчиво к случайным ударам. В случае биться стекло рассыпается на грани с тупыми концами, о которые невозможно поранить., Задние стенки из белого закаленного стекла, толщина 4 мм., Белый алюминиевый профиль не боится высокой влажности, устойчив к коррозии., Поддон: средний 26 см, полукруглый. Высота бортиков предупреждает попадание брызг на пол, при этом поддон легко перешагнут пожилые и люди с заболеваниями ног. Небольшое литое сиденье можно использовать в качестве дополнительного места хранения., Комплектация: полка, большое встроенное зеркало, верхний душ ТРОПИК, ручной душ, сифон., Особенности: без центрального столба, Сборка без применения силикона. Конструкция душевой кабины обеспечивает слив воды внутрь поддона. Сам поддон по всему периметру оснащен водонепроницаемым бортиком  высотой 2 см, который исключает перелив воды за пределы душевой зоны.
Цена в рублях	46000
Цена без скидки	-
Оценка покупателей	0%
Название магазина	VKUSS Spa
Количество отзывов	0
Тип	Душевая кабина
Длина, см	95
Ширина, см	95
Высота, см	215
Толщина стекла, мм	4
Стекло	Прозрачное
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	950х950х2150
Цвет стенки	Белый
Цвет фурнитуры	Серебристый
Форма	Четверть круга
Материал поддона	ABS пластик
Ориентация установки	Универсальная
Гарантия	1 год
Установлено	Зеркало
Материал задней стенки	Стекло
Число дверей	2
Монтаж	Напольный
Двери	Раздвижные в стороны
Материал дверей	Закаленное стекло
Высота поддона	Средний
Бренд	Parly
Адрес товара	https://www.ozon.ru/product/300776087?oos_search=false
Статус 	Закончился
