Название товара	Душевая кабина Parly BMM120L
Описание товара	"Душевая кабина Parly BMM120L , , Размер: 120х80х215 см, , Кабина открывается вовнутрь и экономит место, что практично для маленьких ванны: достаточно свободного пространства, можно поставить в комнате больше мебели или техники., Переднее стекло: 5 мм прозрачное закаленное, ударопрочное, противоосколочное., Стенки: закаленное стекло, белое, ударопрочное, противоосколочное., Профиль: Белый, алюминиевый., Поддон: средний 26 см, асимметричный, противоскользящий., Комплектация: полка, большое встроенное зеркало, верхний душ ТРОПИК, ручной душ, сифон ""антизапах""., Особенности: без центрального столба., Сборка без применения силикона. Конструкция душевой кабины обеспечивает слив воды внутрь поддона. Сам поддон по всему периметру оснащен водонепроницаемым бортиком  высотой 2 см, который исключает перелив воды за пределы душевой зоны., Такие размеры и конфигурация позволяют заменить ванну, это практично и удобно для ванных комнат стандартной планировки большинства российских квартир."
Цена в рублях	50500
Цена без скидки	-
Оценка покупателей	0%
Название магазина	VKUSS Spa
Количество отзывов	0
Тип	Душевая кабина
Длина, см	120
Ширина, см	80
Высота, см	215
Толщина стекла, мм	5
Стекло	Прозрачное
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	1200х800х2150
Форма	Нестандартная
Цвет фурнитуры	Серебристый
Высота поддона	Средний
Материал дверей	Закаленное стекло
Установлено	Зеркало
Бренд	Parly
Гарантия	1 год
Монтаж	Напольный
Цвет стенки	Белый
Ориентация установки	Левосторонняя
Материал поддона	ABS пластик
Число дверей	2
Материал задней стенки	Стекло
Двери	Раздвижные в стороны
Адрес товара	https://www.ozon.ru/product/300796585?oos_search=false
Статус 	Закончился
