Название товара	Душевой бокс Parly BNE170
Описание товара	Душевой бокс Parly BNE170, , Размер: 170х75х215 см, , Бокс впишется в светлый и темный дизайн ванной комнаты. Внутри душевой зоны достаточно места, чтобы принимать душ вдвоем., , Достоинства:, Стекло: матовое закаленное, 4 мм. Сквозь полотно просматриваются только контуры фигуры. Матовое стекло не прихотливо в уходе и не требует частой чистки., Стенки: закаленное стекло белое, 4 мм., Профиль: матовый хромированный, алюминиевый. Профиль не боится высокой влажности и не подвержен коррозии., Поддон: высокий, прямоугольный. Поддон можно использовать в качестве ванночки для купания и замачивания вещей., В центральную панель возможна установка пульта., Комплектация: верхний душ ТРОПИК, ручной душ, сифон, налив воды в поддон. Без пульта, без радио, без подсветки., ,  
Цена в рублях	64500
Цена без скидки	-
Оценка покупателей	0%
Название магазина	VKUSS Spa
Количество отзывов	0
Тип	Душевой бокс
Длина, см	170
Ширина, см	75
Высота, см	215
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	1700х750х2150
Форма	Прямоугольник
Материал поддона	ABS пластик
Бренд	Parly
Цвет фурнитуры	Серебристый
Высота поддона	Высокий
Установлено	Полка
Материал задней стенки	Стекло
Гарантия	1 год
Ориентация установки	Универсальная
Двери	Раздвижные в стороны
Цвет стенки	Белый
Монтаж	Напольный
Число дверей	2
Материал дверей	Закаленное стекло
Адрес товара	https://www.ozon.ru/product/300812580?oos_search=false
Статус 	Закончился
