Название товара	Душевая кабина Parly CE118
Описание товара	Душевая кабина Parly CE118, , Размер: 118х118х215 см, , Особенности:, Стекло: тонированное закаленное, 4 мм., Стенки: закаленное стекло чёрное, 4 мм., Профиль: белый алюминиевый., Поддон: высокий полукруглый., Комплектация:  полка, верхний душ ТРОПИК, ручной душ, сифон, зеркало , налив воды в поддон 
Цена в рублях	56750
Цена без скидки	-
Оценка покупателей	0%
Название магазина	VKUSS Spa
Количество отзывов	0
Тип	Душевая кабина
Длина, см	118
Ширина, см	118
Высота, см	215
Толщина стекла, мм	4
Стекло	Тонированное
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	1180х1180х2150
Высота поддона	Высокий
Гарантия	1 год
Цвет фурнитуры	Белый
Бренд	Parly
Цвет стенки	Черный
Материал задней стенки	Стекло
Форма	Четверть круга
Монтаж	Напольный
Число дверей	2
Материал поддона	ABS пластик
Материал дверей	Закаленное стекло
Двери	Раздвижные в стороны
Установлено	Полка
Адрес товара	https://www.ozon.ru/product/300817451?oos_search=false
Статус 	Закончился
