Название товара	Душевая кабина Parly CM121L
Описание товара	Душевая кабина Parly CM121L, , Размер: 120х80х215 см, , Черное заднее стекло красиво сочетается с белым профилем. Модель смотрится стильно и сдержанно. Благодаря отсутствию центральной панели увеличено душевое пространство., , Достоинства:, Тонированное закаленное стекло (4 мм) устойчиво к случайным ударам. Стенки из закаленного черного стекла толщиной 4 мм, Профиль: белый алюминиевый. Не подвержен коррозии., Поддон: средний 26 см с бортиком 2 см, асимметричный. Предупреждает разбрызгивание воды. Высоту поддона смогут преодолеть пожилые и люди, имеющие проблемы со здоровьем., Сборка без применения силикона. Конструкция душевой кабины обеспечивает слив воды внутрь поддона. Сам поддон по всему периметру оснащен водонепроницаемым бортиком  высотой 2 см, который исключает перелив воды за пределы душевой зоны., Комплектация: полка, верхний душ ТРОПИК, ручной душ NEW, слив-перелив, магнитный замок soft close.
Цена в рублях	46000
Цена без скидки	-
Оценка покупателей	0%
Название магазина	VKUSS Spa
Количество отзывов	0
Тип	Душевая кабина
Длина, см	120
Ширина, см	80
Высота, см	215
Толщина стекла, мм	4
Стекло	Тонированное
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	1200х800х2150
Установлено	Полка
Материал поддона	ABS пластик
Число дверей	2
Высота поддона	Средний
Цвет стенки	Черный
Монтаж	Напольный
Форма	Нестандартная
Цвет фурнитуры	Серебристый
Материал дверей	Закаленное стекло
Бренд	Parly
Ориентация установки	Левосторонняя
Материал задней стенки	Стекло
Гарантия	1 год
Двери	Раздвижные в стороны
Адрес товара	https://www.ozon.ru/product/301015925?oos_search=false
Статус 	Закончился
