Название товара	Душевая кабина Parly EB123L
Описание товара	Душевая кабина EB123L, , Размер: 120x80x210 см, , Достоинства:, Стекло: закаленное, противоосколочное, ударопрочное, жемчужное, 4 мм., Стенки: закаленное, противоосколочное, ударопрочное, белое, 4 мм., Профиль: белый, алюминиевый., Центральная панель белая., Поддон: низкий, 10 см, асимметричный полукруглый. Материал - АБС пластик, армирован стекловолокном. Дополнительная ножка конструкции. Противоскользящее покрытие., Магнитные уплотнители двери под 45°., Силиконовые водоотсекатели., Белая одиночная ручка., Комплектация: смеситель, верхний душ ТРОПИК, ручной душ, сифон., , Дверь левая, раздвижная на белых одиночных роликах. Нижние ролики на клипсе с механизмом отстегивания., , Душевая кабина отлично подходит для дачи и квартиры., , Преимущества модели: экономия пространства, безопасное стекло, плавное бесшумное открывание дверей, повышенная герметичность, легкий доступ к стеклу и профилю для очистки.
Цена в рублях	42250
Цена без скидки	-
Оценка покупателей	0%
Название магазина	VKUSS Spa
Количество отзывов	0
Тип	Душевая кабина
Длина, см	80
Ширина, см	80
Высота, см	210
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Цвет	Белый
Размеры, мм	1200х800х2100
Бренд	Parly
Материал поддона	ABS пластик
Монтаж	Напольный
Гарантия	1 год
Форма	Нестандартная
Двери	Раздвижные в стороны
Материал дверей	Закаленное стекло
Высота поддона	Низкий
Число дверей	2
Материал задней стенки	Стекло
Цвет стенки	Белый
Установлено	Верхний душ
Адрес товара	https://www.ozon.ru/product/301046115?oos_search=false
Статус 	Закончился
