Название товара	Душевая кабина Parly EB122R
Описание товара	Душевая кабина Parly EB122R, , Размер: 120х80х215 см, , Правосторонняя модель с высоким поддоном. Светлая душевая кабина актуальна для любого оформления ванной комнаты. Универсальный дизайн модели не будет перетягивать внимание на себя от общей стилистики санузла., , Достоинства:, Матовое закаленное стекло, 4 мм. Полотно не прихотливо в уходе, на нем практически не виден налет от воды и мыла. Стекло безопасно: в случае битья полотно рассыпается на множество граней с тупыми концами, о которые невозможно пораниться., Стенки – закаленное белое стекло, 4 мм., Профиль: белый алюминиевый. Устойчив к образованию коррозии, не деформируется при перепадах температуры и влажности., Поддон: асимметричный, высокий 42 см. В высоком поддоне удобно купить детей и животных, замачивать вещи. Литое сиденье можно использовать как дополнительное место для хранения душевых принадлежностей., Комплектация: верхний душ ТРОПИК, ручной душ, сифон., Раздвижные двери смыкаются плотно, «ходят» плавно., Магнитные уплотнители под 45° помогают сохранить тепло внутри кабины, не дают воде просачиваться наружу., Соединение без болтовое., Дополнительные силиконовые уплотнители для задних стенок.
Цена в рублях	40750
Цена без скидки	-
Оценка покупателей	0%
Название магазина	VKUSS Spa
Количество отзывов	0
Тип	Душевая кабина
Длина, см	120
Ширина, см	80
Высота, см	215
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	1200х800х2150
Цвет фурнитуры	Серебристый
Число дверей	2
Двери	Раздвижные в стороны
Форма	Нестандартная
Установлено	Верхний душ
Монтаж	Напольный
Цвет стенки	Белый
Материал поддона	ABS пластик
Высота поддона	Высокий
Материал задней стенки	Стекло
Ориентация установки	Правосторонняя
Материал дверей	Закаленное стекло
Бренд	Parly
Гарантия	1 год
Адрес товара	https://www.ozon.ru/product/301053870?oos_search=false
Статус 	Закончился
