Название товара	Душевая кабина Parly EB92
Описание товара	"Душевая кабина Parly EB92, , Размер 90х90х215 см, , Особенности:, Стекло противоосколочное, ударопрочное, закаленное, 4 мм, матовое ., Стенки задние: стекло закаленное, белое, 4 мм., Высокий поддон (42 см), АСБ пластик, белый, полукруглый. Противоскользящее покрытие., Двери раздвижные, на роликах., Профиль белый, алюминиевый., Комплектация: моносмеситель хромированный, верхний душ ТРОПИК, ручной душ, сифон с ""антизапахом""., Соединение безболтовое., Магнитные уплотнители двери под углом 45°.Дополнительные силиконовые уплотнители для задних стенок. Все ниши и щели закрыты водоотсекателями., Душевая бюджетная кабина прекрасно подойдет как для квартир, так и для загородных дач. Высокая жесткость и стабильность конструкции исключают проседание дверей. Исключение попадания воды на стены и пол. Высокие антикоррозийные свойства."
Цена в рублях	35250
Цена без скидки	-
Оценка покупателей	100%
Название магазина	VKUSS Spa
Количество отзывов	4
Тип	Душевая кабина
Длина, см	90
Ширина, см	90
Высота, см	215
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	900х900х2150
Ориентация установки	Универсальная
Материал дверей	Закаленное стекло
Высота поддона	Высокий
Монтаж	Напольный
Двери	Раздвижные в стороны
Бренд	Parly
Цвет фурнитуры	Серебристый
Цвет стенки	Белый
Установлено	Верхний душ
Материал поддона	ABS пластик
Форма	Четверть круга
Материал задней стенки	Стекло
Гарантия	1 год
Число дверей	2
Адрес товара	https://www.ozon.ru/product/301059072?oos_search=false
Статус 	Закончился
