Название товара	Душевая кабина Parly EC123L
Описание товара	Душевая кабина EC123L, , Размер: 120х80х210см, , Левосторонняя кабина с черными задними стенками смотрится стильно и лаконично впишется в современное оформление ванной комнаты., , Достоинства:, , Стекло: тонированное закаленное, 4 мм, , Стенки: закаленное стекло чёрное, 4 мм, , Профиль: матовый хромированный, алюминиевый., , Центральная серебристая панель позволяет установить в кабину пульт, , Поддон: низкий 10 см, асимметричный. Высоту бортика легко преодолеют пожилые и люди с инвалидностью., , Комплектация: верхний душ ТРОПИК, ручной душ, сифон, , СЕРИЯ N - новые магнитные уплотнители под 45°; безболтовое соединение; дополнительные силиконовые уплотнители для задних стенок, , Раздвижные двери плотно смыкаются за счет магнитной ленты, вода сквозь стыки не просачивается.
Цена в рублях	42250
Цена без скидки	-
Оценка покупателей	0%
Название магазина	VKUSS Spa
Количество отзывов	0
Тип	Душевая кабина
Длина, см	120
Ширина, см	80
Высота, см	210
Толщина стекла, мм	4
Стекло	Тонированное
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	1200х800х2100
Цвет стенки	Черный
Бренд	Parly
Гарантия	1 год
Материал задней стенки	Закаленное стекло
Форма	Нестандартная
Материал дверей	Закаленное стекло
Цвет фурнитуры	Серебристый
Ориентация установки	Левосторонняя
Высота поддона	Низкий
Двери	Раздвижные в стороны
Установлено	Верхний душ
Число дверей	2
Монтаж	Напольный
Адрес товара	https://www.ozon.ru/product/301179560?oos_search=false
Статус 	Закончился
