Название товара	Душевая кабина Parly EC123R
Описание товара	Душевая кабина EC123R, , Размер: 120х80х210см, , Правосторонняя кабина с черными задними стенками смотрится стильно и лаконично впишется в современное оформление ванной комнаты., , Достоинства:, , Стекло: тонированное закаленное, 4 мм, , Стенки: закаленное стекло чёрное, 4 мм, , Профиль: матовый хромированный, алюминиевый., , Центральная серебристая панель позволяет установить гидромассаж в кабину пульт, , Поддон: низкий 10 см, асимметричный. Высоту бортика легко преодолеют пожилые и люди с инвалидностью., , Комплектация: верхний душ ТРОПИК, ручной душ, сифон., , Раздвижные двери плотно смыкаются за счет магнитной ленты, вода сквозь стыки не просачивается., , СЕРИЯ N - новые магнитные уплотнители под 45°; безболтовое соединение; дополнительные силиконовые уплотнители для задних стенок.
Цена в рублях	42250
Цена без скидки	-
Оценка покупателей	100%
Название магазина	VKUSS Spa
Количество отзывов	1
Тип	Душевая кабина
Длина, см	120
Ширина, см	80
Высота, см	210
Толщина стекла, мм	4
Стекло	Тонированное
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	1200х800х2100
Цвет фурнитуры	Серебристый
Цвет стенки	Черный
Число дверей	2
Монтаж	Напольный
Высота поддона	Низкий
Гарантия	1 год
Материал дверей	Закаленное стекло
Форма	Нестандартная
Ориентация установки	Правосторонняя
Бренд	Parly
Двери	Раздвижные в стороны
Установлено	Верхний душ
Адрес товара	https://www.ozon.ru/product/301186991?oos_search=false
Статус 	Закончился
