Название товара	Душевая кабина Parly EC82
Описание товара	Душевая кабина Parly EC82, , Размер: 80х80х215 см   , , Компактная модель отлично впишется в небольшой санузел или на дачу. Душевая кабина с черными задними стенками станет стильным акцентов в ванной комнате. Высокий поддон удобно использовать в качестве ванночки для купания детей или замачивания крупных вещей., , Достоинства:, , Тонированное стекло, 4 мм. Безопасное закаленное полотно устойчиво к случайным ударам. В случае битья стекло рассыпается на гранулы с тупыми концами, о которые невозможно травмироваться., , Стенки – закаленное черное стекло, 4 мм., , Профиль: белый алюминиевый. Не боится высокой влажности и перепадов температуры, устойчив к образованию коррозии., , Поддон: высокий 42 см, полукруглый, рельефное дно, литое сиденье., , Комплектация: верхний душ ТРОПИК, ручной душ, сифон Магнитные уплотнители под 45° не позволяют теплу выходить из душевой кабины, защищают помещение от просачивания воды., , Раздвижные двери не соскакивают с направляющих, образуют комфортную ширину входа., , Соединение без болтовое., , Дополнительные силиконовые уплотнители для задних стенок., , Возможна установка сенсорного пульта в центральную панель.
Цена в рублях	33125
Цена без скидки	-
Оценка покупателей	0%
Название магазина	VKUSS Spa
Количество отзывов	0
Тип	Душевая кабина
Длина, см	80
Ширина, см	80
Высота, см	215
Толщина стекла, мм	4
Стекло	Тонированное
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	800х800х2150
Двери	Раздвижные в стороны
Цвет фурнитуры	Серебристый
Материал задней стенки	Закаленное стекло
Монтаж	Напольный
Ориентация установки	Универсальная
Установлено	Верхний душ
Бренд	Parly
Форма	Четверть круга
Высота поддона	Высокий
Гарантия	1 год
Цвет стенки	Черный
Число дверей	2
Материал дверей	Закаленное стекло
Адрес товара	https://www.ozon.ru/product/301202698?oos_search=false
Статус 	Закончился
