Название товара	Душевая кабина Parly ET122L
Описание товара	Душевая кабина Parly ET122L, , Размер: 120х80х215 см, , Левосторонняя кабина. Сочетание белого профиля и жемчужного полотна придает модели универсальный внешний вид, поэтому кабина впишется в любое стилистическое оформление ванной комнаты., , Достоинства:, Жемчужное стекло, 4 мм. Закаленное полотно устойчиво к случайным ударам. Если стекло разобьется, полотно рассыплется на множество мелких граней с тупыми концами, о которые невозможно травмироваться., Стенки: закаленное стекло жемчужное 4 мм., Профиль: матовый хромированный алюминиевый, устойчив к образованию коррозии., Поддон: высокий 42 cм, асимметричный, с рельефным дном. Поддон удобно использовать в качестве ванночки для купания детей и животных. На литом сиденье можно хранить душевые принадлежности., Комплектация: верхний душ ТРОПИК, ручной душ, сифон., В центральную панель возможна установка сенсорного пульта.
Цена в рублях	38500
Цена без скидки	-
Оценка покупателей	0%
Название магазина	VKUSS Spa
Количество отзывов	0
Тип	Душевая кабина
Длина, см	120
Ширина, см	80
Высота, см	215
Толщина стекла, мм	4
Стекло	Матовое
Управление	Ручное
Страна-изготовитель	Китай
Цвет	Жемчужный
Размеры, мм	1200х800х2150
Форма	Нестандартная
Бренд	Parly
Двери	Раздвижные в стороны
Установлено	Верхний душ
Материал дверей	Закаленное стекло
Ориентация установки	Левосторонняя
Высота поддона	Высокий
Гарантия	1 год
Материал поддона	ABS пластик
Монтаж	Напольный
Цвет фурнитуры	Серебристый
Число дверей	2
Адрес товара	https://www.ozon.ru/product/301249855?oos_search=false
Статус 	Закончился
